stenosis_ID,artery_length_mm,diameter_mm,stenosis_position_mm,stenosis_length_mm,stenosis_severity_pct,start_mm,end_mm,is_eccentric
S50_S0001,100.0,3.5,26.3,14.9,59.7,18.8,33.8,FALSE
S50_S0002,100.0,3.8,30.3,8.5,50.5,26.0,34.6,FALSE
A60_S0003,100.0,3.8,32.0,13.2,67.4,25.4,38.6,TRUE
A70_S0004,100.0,3.6,32.7,12.4,75.9,26.5,38.9,TRUE
S50_S0005,100.0,4.0,27.1,15.1,55.3,19.6,34.6,FALSE
A60_S0006,100.0,3.9,29.4,16.0,60.0,21.4,37.4,TRUE
A50_S0007,100.0,4.0,19.8,13.8,53.3,12.9,26.7,TRUE
S60_S0008,100.0,4.0,35.5,14.9,66.5,28.0,43.0,FALSE
S70_S0009,100.0,4.0,30.6,16.4,74.7,22.4,38.8,FALSE
A60_S0010,100.0,3.8,28.5,14.6,68.5,21.2,35.8,TRUE
S80_S0011,100.0,3.8,30.5,9.8,82.7,25.6,35.4,FALSE
S50_S0012,100.0,3.5,25.8,10.0,56.9,20.8,30.8,FALSE
A50_S0013,100.0,3.8,28.7,11.5,57.9,23.0,34.4,TRUE
S50_S0014,100.0,3.6,17.3,13.3,58.6,10.6,24.0,FALSE
S50_S0015,100.0,4.0,31.9,8.9,59.9,27.4,36.4,FALSE
A60_S0016,100.0,4.0,37.8,9.6,67.2,33.0,42.6,TRUE
A40_S0017,100.0,4.0,23.4,11.1,43.3,17.8,29.0,TRUE
A60_S0018,100.0,3.8,28.6,9.1,60.8,24.0,33.2,TRUE
S60_S0019,100.0,3.6,27.2,14.8,62.9,19.8,34.6,FALSE
S50_S0020,100.0,3.8,21.9,14.0,57.0,14.9,28.9,FALSE
S50_S0021,100.0,3.9,22.9,13.3,57.7,16.2,29.6,FALSE
S50_S0022,100.0,3.9,26.4,14.4,59.4,19.2,33.6,FALSE
S40_S0023,100.0,4.0,34.1,18.9,42.8,24.7,43.6,FALSE
S60_S0024,100.0,3.8,22.4,15.3,64.5,14.7,30.0,FALSE
A60_S0025,100.0,4.0,29.4,11.1,65.2,23.8,34.9,TRUE
A30_S0026,100.0,3.6,22.9,15.5,37.8,15.2,30.6,TRUE
A60_S0027,100.0,3.9,30.8,8.7,65.6,26.4,35.2,TRUE
S50_S0028,100.0,3.8,20.7,14.3,54.3,13.6,27.8,FALSE
A50_S0029,100.0,4.0,30.5,17.1,52.7,22.0,39.0,TRUE
S60_S0030,100.0,3.9,23.3,9.3,62.3,18.6,28.0,FALSE
A40_S0031,100.0,3.7,25.1,18.3,49.1,16.0,34.2,TRUE
A60_S0032,100.0,3.6,27.0,5.8,64.8,24.1,29.9,TRUE
A50_S0033,100.0,3.5,33.3,17.4,59.6,24.6,42.0,TRUE
S70_S0034,100.0,3.8,34.4,15.3,71.0,26.8,42.0,FALSE
S60_S0035,100.0,3.8,23.6,13.1,61.3,17.0,30.2,FALSE
S40_S0036,100.0,3.7,24.4,10.0,42.6,19.4,29.4,FALSE
S50_S0037,100.0,4.0,38.1,19.2,59.1,28.5,47.7,FALSE
S60_S0038,100.0,3.5,31.3,13.8,60.7,24.4,38.2,FALSE
S80_S0039,100.0,4.0,22.8,12.7,81.7,16.5,29.2,FALSE
A80_S0040,100.0,3.7,26.2,10.5,81.9,21.0,31.4,TRUE
A40_S0041,100.0,3.6,28.9,13.4,47.1,22.2,35.6,TRUE
A50_S0042,100.0,3.7,21.9,9.0,54.7,17.4,26.4,TRUE
S60_S0043,100.0,4.0,38.5,13.0,62.4,32.0,45.0,FALSE
A60_S0044,100.0,3.9,24.5,16.1,69.0,16.4,32.6,TRUE
S70_S0045,100.0,3.7,29.0,10.2,70.0,23.9,34.1,FALSE
S50_S0046,100.0,3.8,21.1,8.3,54.5,17.0,25.2,FALSE
A60_S0047,100.0,3.8,26.7,12.6,63.3,20.4,33.0,TRUE
S50_S0048,100.0,4.0,24.6,13.6,59.1,17.8,31.4,FALSE
S50_S0049,100.0,3.7,27.5,13.0,53.5,21.0,34.0,FALSE
A50_S0050,100.0,3.7,33.0,13.8,57.4,26.1,39.9,TRUE
S40_S0051,100.0,3.6,22.3,17.8,47.5,13.4,31.2,FALSE
S70_S0052,100.0,3.9,30.1,19.1,74.5,20.6,39.7,FALSE
S50_S0053,100.0,3.6,21.5,9.9,53.1,16.6,26.4,FALSE
S50_S0054,100.0,3.6,26.6,9.3,50.3,22.0,31.2,FALSE
S50_S0055,100.0,3.9,19.5,8.0,52.4,15.5,23.5,FALSE
S70_S0056,100.0,3.8,38.0,6.2,74.0,34.9,41.1,FALSE
S50_S0057,100.0,3.9,26.6,11.5,53.9,20.8,32.4,FALSE
A50_S0058,100.0,3.6,21.8,10.2,55.8,16.7,26.9,TRUE
A50_S0059,100.0,3.9,31.2,11.6,57.1,25.4,37.0,TRUE
S60_S0060,100.0,3.8,24.2,10.6,60.6,18.9,29.5,FALSE
A60_S0061,100.0,3.6,18.0,17.1,60.9,9.4,26.6,TRUE
S60_S0062,100.0,4.0,24.4,14.6,63.2,17.1,31.7,FALSE
A60_S0063,100.0,3.6,24.5,17.9,61.4,15.6,33.4,TRUE
S50_S0064,100.0,3.8,34.7,17.3,58.1,26.1,43.4,FALSE
A60_S0065,100.0,3.7,20.1,9.3,60.4,15.4,24.8,TRUE
S50_S0066,100.0,3.9,31.3,9.3,51.7,26.6,36.0,FALSE
S50_S0067,100.0,3.8,21.5,8.5,55.9,17.2,25.8,FALSE
A70_S0068,100.0,3.7,31.0,12.3,74.4,24.8,37.2,TRUE
A70_S0069,100.0,4.0,33.0,16.3,77.3,24.8,41.2,TRUE
A40_S0070,100.0,4.0,27.2,9.4,48.9,22.5,31.9,TRUE
A60_S0071,100.0,3.8,37.4,11.9,68.0,31.4,43.4,TRUE
S60_S0072,100.0,3.8,28.0,11.7,67.1,22.2,33.8,FALSE
S40_S0073,100.0,3.7,29.3,16.4,45.1,21.1,37.5,FALSE
S50_S0074,100.0,3.6,31.1,13.3,59.2,24.5,37.8,FALSE
S60_S0075,100.0,3.6,21.7,8.9,62.5,17.2,26.2,FALSE
A50_S0076,100.0,3.8,22.4,10.7,59.7,17.0,27.8,TRUE
A50_S0077,100.0,3.5,25.4,10.1,56.2,20.3,30.4,TRUE
S50_S0078,100.0,3.8,32.0,11.9,58.5,26.0,38.0,FALSE
S60_S0079,100.0,3.5,29.2,14.4,65.7,22.0,36.4,FALSE
S40_S0080,100.0,4.0,32.1,15.3,42.0,24.5,39.8,FALSE
S50_S0081,100.0,3.8,33.5,7.3,55.4,29.8,37.2,FALSE
S60_S0082,100.0,3.9,23.8,10.1,62.7,18.8,28.8,FALSE
S60_S0083,100.0,3.8,20.4,10.1,65.8,15.3,25.4,FALSE
S40_S0084,100.0,3.5,34.1,11.1,44.7,28.6,39.6,FALSE
S60_S0085,100.0,3.9,23.8,11.3,63.7,18.2,29.4,FALSE
S50_S0086,100.0,3.6,28.4,11.6,58.5,22.6,34.2,FALSE
A60_S0087,100.0,3.5,28.1,13.4,67.6,21.4,34.8,TRUE
A40_S0088,100.0,3.9,28.8,9.5,49.8,24.0,33.6,TRUE
S50_S0089,100.0,3.5,25.4,11.6,56.9,19.6,31.2,FALSE
S60_S0090,100.0,3.7,18.3,9.6,69.1,13.5,23.1,FALSE
