case_name,dataset,score
A30_S0581,real_train,0.5344453
A60_S1019,real_train,0.87879795
S50_S0301,real_train,0.8461741
A50_S0486,real_train,0.8574504
A50_S0442,real_train,0.7709212
A70_S0311,real_train,0.88221973
S40_S1087,real_train,0.585045
A60_S1032,real_train,0.8651492
S50_S0183,real_train,0.8026323
S60_S0942,real_train,0.899217
A60_S0748,real_train,0.87389463
A60_S0618,real_train,0.879571
S50_S0189,real_train,0.8386662
S50_S0499,real_train,0.84369487
S60_S0519,real_train,0.8977603
S50_S0388,real_train,0.7598952
S60_S0982,real_train,0.86663693
S50_S0441,real_train,0.80236477
A50_S0616,real_train,0.8070466
S60_S0738,real_train,0.89769274
A60_S0465,real_train,0.8901193
S40_S0712,real_train,0.6684303
A60_S0783,real_train,0.8842812
S60_S0976,real_train,0.89268005
A40_S0017,real_train,0.5302787
S60_S1122,real_train,0.88174736
A60_S0061,real_train,0.86205906
S60_S1169,real_train,0.8665369
A50_S0276,real_train,0.7906285
S40_S1162,real_train,0.548487
S50_S0971,real_train,0.7674399
S50_S0924,real_train,0.7393162
A60_S0367,real_train,0.8569758
S40_S0036,real_train,0.6319604
A60_S0167,real_train,0.89376515
S60_S0199,real_train,0.87463826
S50_S0502,real_train,0.83992857
S50_S0268,real_train,0.8071594
A60_S0282,real_train,0.86817694
S60_S0879,real_train,0.85284936
S50_S0695,real_train,0.82618695
S40_S0706,real_train,0.6288593
S60_S0557,real_train,0.8753666
A50_S1103,real_train,0.7871021
S70_S0250,real_train,0.85845184
S50_S0048,real_train,0.78288835
S40_S0979,real_train,0.6431796
S50_S0325,real_train,0.8325099
S50_S0274,real_train,0.6181297
S60_S0230,real_train,0.87986296
S40_S1083,real_train,0.6879924
A30_S1079,real_train,0.6305329
S60_S1177,real_train,0.849766
A50_S0918,real_train,0.8077584
S30_S0961,real_train,0.50947005
S50_S0511,real_train,0.8383663
A60_S0261,real_train,0.89872926
A70_S0140,real_train,0.8505617
S60_S0590,real_train,0.86542743
S50_S0064,real_train,0.8378971
S70_S1200,real_train,0.85826665
S40_S0411,real_train,0.6840292
S50_S0664,real_train,0.8211818
S60_S1018,real_train,0.89301366
S50_S0381,real_train,0.8333002
S60_S0119,real_train,0.8713964
S70_S0232,real_train,0.86341304
S50_S0666,real_train,0.8343275
S50_S0405,real_train,0.8255038
S50_S0464,real_train,0.7116784
S60_S0564,real_train,0.89861745
S60_S0142,real_train,0.89261216
S50_S1127,real_train,0.84257394
A50_S0973,real_train,0.8106563
A60_S0293,real_train,0.87736225
S40_S0885,real_train,0.5125528
S60_S0320,real_train,0.87948346
A60_S0169,real_train,0.8917629
S60_S0397,real_train,0.8946845
A50_S0253,real_train,0.81869006
A50_S0872,real_train,0.7632063
A60_S0953,real_train,0.83251315
S40_S0678,real_train,0.72612655
S40_S0521,real_train,0.78305686
S60_S1151,real_train,0.84436345
S60_S1179,real_train,0.893057
A40_S0702,real_train,0.736432
S60_S0655,real_train,0.8760805
A50_S0752,real_train,0.85090005
S50_S1006,real_train,0.8494809
A60_S1020,real_train,0.89007056
S40_S0583,real_train,0.6284497
S50_S0235,real_train,0.7782242
S50_S1165,real_train,0.79576224
S50_S0252,real_train,0.79984635
S60_S1154,real_train,0.86870235
S70_S0522,real_train,0.895637
A30_S0026,real_train,0.638644
S40_S0023,real_train,0.57209086
S40_S0234,real_train,0.5755006
A60_S1058,real_train,0.89897484
S60_S0139,real_train,0.8723359
S50_S0550,real_train,0.6311111
S40_S0747,real_train,0.69196206
S50_S0480,real_train,0.8185332
S70_S0196,real_train,0.8608995
S60_S0172,real_train,0.8714145
A50_S1044,real_train,0.7353275
A50_S0670,real_train,0.7627191
S50_S0987,real_train,0.7839624
S50_S0191,real_train,0.82269305
S70_S1043,real_train,0.8528583
S60_S1110,real_train,0.8647326
A50_S0396,real_train,0.811326
S70_S0390,real_train,0.8747582
A50_S1183,real_train,0.83279234
S40_S0073,real_train,0.6897851
A60_S0696,real_train,0.84998125
S60_S1135,real_train,0.8707951
S60_S1063,real_train,0.85930556
A50_S0109,real_train,0.75228554
A60_S0803,real_train,0.8973928
A50_S0720,real_train,0.8018026
A60_S0926,real_train,0.88511276
S50_S0226,real_train,0.7663538
A60_S1186,real_train,0.8949958
A50_S0855,real_train,0.83843714
S50_S0415,real_train,0.85143954
S50_S0723,real_train,0.83905995
S50_S1042,real_train,0.83924425
A50_S0765,real_train,0.7396219
S50_S0131,real_train,0.81594723
S50_S1138,real_train,0.6719134
A50_S0980,real_train,0.7618961
A40_S0377,real_train,0.6911099
S50_S0639,real_train,0.7102848
A60_S0032,real_train,0.89245504
S50_S0022,real_train,0.83858335
S50_S1017,real_train,0.8475287
S40_S0806,real_train,0.6668448
S50_S0856,real_train,0.7944589
A50_S1030,real_train,0.8190211
S50_S0362,real_train,0.784926
A50_S0802,real_train,0.8455267
A50_S1054,real_train,0.7905644
A30_S0833,real_train,0.55709213
S50_S1047,real_train,0.730534
S50_S0335,real_train,0.8285682
S50_S1072,real_train,0.79922587
S50_S0407,real_train,0.7919231
